date,score
2025-03-16T10:00:00,150
2025-03-16T10:30:00,200
2025-03-16T11:00:00,180
2025-03-17T16:54:39.254190,40
2025-03-17T17:44:28.389070,40
2025-03-17T17:44:53.647709,45
2025-03-17T19:00:20.186260,40
2025-03-17T19:02:18.952685,200
2025-03-17T19:21:45.606964,207
2025-03-17T20:33:21.018470,207
2025-03-17T20:39:10.279362,204
2025-03-18T11:28:25.545943,34
2025-03-18T11:29:44.921387,126
2025-03-18T11:31:41.310087,33
2025-03-18T11:31:51.270260,0
2025-03-18T11:32:02.309509,0
2025-03-18T11:32:44.586265,34
2025-03-18T11:36:25.114806,34
2025-03-18T11:38:54.645759,34
2025-03-18T11:41:14.454880,34
2025-03-18T11:45:46.607519,34
2025-03-18T11:48:00.759054,34
2025-03-18T11:49:03.056677,34
2025-03-18T11:49:54.693674,34
2025-03-18T11:50:20.969069,24
2025-03-18T11:50:36.567679,34
2025-03-18T13:23:23.041892,0
2025-03-18T13:24:57.357197,0
2025-03-18T13:25:35.763770,0
2025-03-18T13:28:41.490326,0
2025-03-18T13:29:14.406208,0
2025-03-18T13:30:12.774157,0
2025-03-18T13:30:33.137144,0
2025-03-18T13:33:04.114405,0
2025-03-18T13:33:48.598920,0
2025-03-18T13:34:24.134800,0
2025-03-18T13:34:43.081931,0
2025-03-18T13:35:27.961525,0
2025-03-18T13:36:02.040412,0
2025-03-18T13:36:38.412341,0
2025-03-18T13:36:48.021792,34
2025-03-18T13:38:18.472960,0
2025-03-18T13:38:47.697871,0
2025-03-18T13:39:14.990336,0
